Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"Metropolis Labs","Gandhi Chowk, Pachora, Jalgaon - 424201, Near Rath Galli.","02047170110","","https://www.google.com/maps/search/?api=1&query=Metropolis+Labs+Gandhi+Chowk,+Pachora,+Jalgaon+-+424201,+Near+Rath+Galli.","The text states that the center's services include CT scans."
"Metropolis Labs | Blood Test & Diagnostic Centre in Jalgaon","Gandhi Chowk Pachora, near Rath Galli Road, Deshmukh Wadi, Sambhaji Nagar, Jalgaon, Pachora, Maharashtra 424201, India","020 4717 0110","","https://www.google.com/maps/search/?api=1&query=Metropolis+Labs+%7C+Blood+Test+%26+Diagnostic+Centre+in+Jalgaon+Gandhi+Chowk+Pachora%2C+near+Rath+Galli+Road%2C+Deshmukh+Wadi%2C+Sambhaji+Nagar%2C+Jalgaon%2C+Pachora%2C+Maharashtra+424201%2C+India","The text states that this diagnostic center offers a variety of imaging services, including CT scans."
"𝗚𝗹𝗼𝗯𝗮𝗹 𝗗𝗶𝗮𝗴𝗻𝗼𝘀𝘁𝗶𝗰 𝗖𝗲𝗻𝘁𝗿𝗲- 3 D 4 D Sonography/MRI/X Ray/Doppler/CT Scan Centre in Ahmednagar","Balikashram Rd, in front of Mahalaxmi garden, Savedi, Ahilyanagar, Maharashtra 414003, India","0241 242 1010","","https://www.google.com/maps/search/?api=1&query=%EF%B8%8F+%F0%9D%97%9A%F0%9D%97%B9%F0%9D%97%BC%F0%9D%97%B3%F0%9D%97%AE%F0%9D%97%B9+%F0%9D%97%97%F0%9D%97%B6%F0%9D%97%AE%F0%9D%97%B4%F0%9D%97%BB%F0%9D%97%BC%F0%9D%98%80%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%B0+%F0%9D%97%96%F0%9D%97%B2%F0%9D%97%BB%F0%9D%98%81%F0%9D%97%BF%F0%9D%97%B2-+3+D+4+D+Sonography%2FMRI%2FX+Ray%2FDoppler%2FCT+Scan+Centre+in+Ahmednagar+Balikashram+Rd%2C+in+front+of+Mahalaxmi+garden%2C+Savedi%2C+Ahilyanagar%2C+Maharashtra+414003%2C+India","The center's name includes 'CT Scan Centre' and the text confirms it offers imaging services, including CT scans."
"SAMARTH CT SCAN CENTER chopda","Gautam Nagar, Shivaji Chowk, Chopda, Maharashtra 425107, India.","Contact information for this center is not readily available.","","https://www.google.com/maps/search/?api=1&query=SAMARTH+CT+SCAN+CENTER+chopda+Gautam+Nagar%2C+Shivaji+Chowk%2C+Chopda%2C+Maharashtra+425107%2C+India.","The text explicitly states that this center specializes in CT scans."
"SHIV CT SCAN","Sanjog hospital, Narayan Wadi, Vidya Vihar Colony, Chopda, Maharashtra 425107, India.","098232 95856","","https://www.google.com/maps/search/?api=1&query=SHIV+CT+SCAN+Sanjog+hospital%2C+Narayan+Wadi%2C+Vidya+Vihar+Colony%2C+Chopda%2C+Maharashtra+425107%2C+India.","The center's name, 'SHIV CT SCAN', strongly indicates that it offers CT scan services."
"Neurologist Dr Nilesh Kinge Axon Brain Hospital","Infront Of MJ College Ground, National Highway 6, near Govt ITI, Hareshwar Nagar, Ganesh Colony, Jalgaon, Maharashtra 425001, India","099221 28855","Dr Nilesh Kinge","https://www.google.com/maps/search/?api=1&query=Neurologist+Dr+Nilesh+Kinge+Axon+Brain+Hospital+Infront+Of+MJ+College+Ground%2C+National+Highway+6%2C+near+Govt+ITI%2C+Hareshwar+Nagar%2C+Ganesh+Colony%2C+Jalgaon%2C+Maharashtra+425001%2C+India","The text confirms that the hospital's brain-related diagnostic imaging includes CT scans."
"Asha Urology Hospital & Diagnostic Centre","38, Sindhi Colony Rd, near Panchmukhi hanuman mandir, Devidas Colony, Jalgaon, Maharashtra 425001, India","0257 222 4491","","https://www.google.com/maps/search/?api=1&query=Asha+Urology+Hospital+%26+Diagnostic+Centre+38%2C+Sindhi+Colony+Rd%2C+near+Panchmukhi+hanuman+mandir%2C+Devidas+Colony%2C+Jalgaon%2C+Maharashtra+425001%2C+India","The services description for this diagnostic centre explicitly states that it offers CT scans."
"Godavari Hospital","400, Bhaskar Market Rd, Pratap Nagar, Jalgaon, Maharashtra 425001, India","0257 236 6777","","https://www.google.com/maps/search/?api=1&query=Godavari+Hospital+400%2C+Bhaskar+Market+Rd%2C+Pratap+Nagar%2C+Jalgaon%2C+Maharashtra+425001%2C+India","The text states that the hospital provides various medical services, including diagnostics like CT scans."
"UNIVERSAL 3 TESLA MRI CENTRE","OPSITE NAWAL HOSPITAL, Bhaskar Market Rd, near GODAWARI HOSPITAL, Pratap Nagar, Jalgaon, Maharashtra 425001, India","090227 59251","","https://www.google.com/maps/search/?api=1&query=UNIVERSAL+3+TESLA+MRI+CENTRE+OPSITE+NAWAL+HOSPITAL%2C+Bhaskar+Market+Rd%2C+near+GODAWARI+HOSPITAL%2C+Pratap+Nagar%2C+Jalgaon%2C+Maharashtra+425001%2C+India","The description of services explicitly mentions that the center offers high-end imaging services, including CT scans."
"Sagar Imaging Centre","54-B, Onkar Nagar, Near Parikhpark, Jaikisan Wadi, Jalgaon, Maharashtra 425001, India.","0257 223 7634","","https://www.google.com/maps/search/?api=1&query=Sagar+Imaging+Centre+54-B,+Onkar+Nagar,+Near+Parikhpark,+Jaikisan+Wadi,+Jalgaon,+Maharashtra+425001,+India.","The text confirms the center offers a '128-slice multi-detector CT scan' as part of its services."
"Akshaya C T Scan Centre","Shop No 1 Nh 6 Akashwani Chowk, Ramdas Colony, Jalgaon, Maharashtra 425002, India.","097669 33934","","https://www.google.com/maps/search/?api=1&query=Akshaya+C+T+Scan+Centre+Shop+No+1+Nh+6+Akashwani+Chowk,+Ramdas+Colony,+Jalgaon,+Maharashtra+425002,+India.","The center's name includes 'C T Scan Centre' and its services description explicitly states that it offers CT scans."
"Moraya CT scan Center","Suprabha"",Opp. Hotel Aditya, near Pandurang Talkies, Tulsi Nagar, Bhusawal, Maharashtra 425201, India.","089991 19822","","https://www.google.com/maps/search/?api=1&query=Moraya+CT+scan+Center+Suprabha%22,Opp.+Hotel+Aditya,+near+Pandurang+Talkies,+Tulsi+Nagar,+Bhusawal,+Maharashtra+425201,+India.","The center's name is 'Moraya CT scan Center' and the text confirms it offers CT scans."
"Krsnaa Diagnostics Pvt Ltd- G M Foundation Jamner","1st floor, BOT Complex, Mahavir Nagar, Jamner, Maharashtra 424206, India","020 6814 6814","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+Pvt+Ltd-+G+M+Foundation+Jamner+1st+floor%2C+BOT+Complex%2C+Mahavir+Nagar%2C+Jamner%2C+Maharashtra+424206%2C+India","The description of the center's services explicitly states they 'include CT scans'."
"SHIVAM MRI & DIAGNOSTIC","23, Ring Rd, near Chirayu Hospital, Dinanath Wadi, Jalgaon, Maharashtra 425001, India.","This information was not available in the search results.","","https://www.google.com/maps/search/?api=1&query=SHIVAM+MRI+%26+DIAGNOSTIC+23,+Ring+Rd,+near+Chirayu+Hospital,+Dinanath+Wadi,+Jalgaon,+Maharashtra+425001,+India.","The services description explicitly states that this center offers CT Scans."
"SHIVAM MRI & DIAGNOSTIC","23, Ring Rd, near Chirayu Hospital, Dinanath Wadi, Jalgaon, Maharashtra 425001, India","0257 222 2358","","https://www.google.com/maps/search/?api=1&query=SHIVAM+MRI+%26+DIAGNOSTIC+23,+Ring+Rd,+near+Chirayu+Hospital,+Dinanath+Wadi,+Jalgaon,+Maharashtra+425001,+India","The services description explicitly states that the center provides 'CT scans and MRIs'."
"Ganpati M R I & C T Scan Center","Bhaskar Market Rd, Pratap Nagar, Jalgaon, Maharashtra 425001","0257 224 1111","","https://www.google.com/maps/search/?api=1&query=Ganpati+M+R+I+%26+C+T+Scan+Center+Bhaskar+Market+Rd%2C+Pratap+Nagar%2C+Jalgaon%2C+Maharashtra+425001","The center's name includes 'C T Scan Center' and its description explicitly states they offer 'CT scans' as a service."
"Krsnaa Diagnostics Pvt Ltd- G M Diagnostic Jalgaon","Ganesh Wadi Rd, near panchmukhi hanuman Mandir, Ranchos Nagar, Devidas Colony, Jalgaon, Maharashtra 425001","020 6814 6814","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+Pvt+Ltd-+G+M+Diagnostic+Jalgaon+Ganesh+Wadi+Rd%2C+near+panchmukhi+hanuman+Mandir%2C+Ranchos+Nagar%2C+Devidas+Colony%2C+Jalgaon%2C+Maharashtra+425001","The text explicitly lists 'CT Scans' as one of the comprehensive services offered by this diagnostic center."
"PRIME DIAGNOSTIC IMAGING CENTRE AND APURVA SKINCARE CLINIC JALGAON","Ground floor chirmade complex opposite chandrama hospital, besides pratap jadhav hospital, Bhaskar Market Rd, near bahinabai garden, Pratap Nagar, Jalgaon, Maharashtra 425001","080171 68970","","https://www.google.com/maps/search/?api=1&query=PRIME+DIAGNOSTIC+IMAGING+CENTRE+AND+APURVA+SKINCARE+CLINIC+JALGAON+Ground+floor+chirmade+complex+opposite+chandrama+hospital%2C+besides+pratap+jadhav+hospital%2C+Bhaskar+Market+Rd%2C+near+bahinabai+garden%2C+Pratap+Nagar%2C+Jalgaon%2C+Maharashtra+425001","The center is included in a list explicitly introduced as 'diagnostic and imaging centers in Jalgaon, India that offer CT scan services'."
"Vanita Multispeciality Hospital","34, Ring Rd, Pratap Nagar, Jalgaon, Maharashtra 425001","+91 257 299 4001","","https://www.google.com/maps/search/?api=1&query=Vanita+Multispeciality+Hospital+34,+Ring+Rd,+Pratap+Nagar,+Jalgaon,+Maharashtra+425001","The text explicitly states that the hospital has a 32-Slice CT scanner."
"Hartalkar Hospital","67WW+X5P, Shri Krishna Mandir Rd, opposite Sri Krishna Mandir, Panchshil Nagar, Chopda, Maharashtra 425107, India.","02586 221 154","","https://www.google.com/maps/search/?api=1&query=Hartalkar+Hospital+67WW%2BX5P%2C+Shri+Krishna+Mandir+Rd%2C+opposite+Sri+Krishna+Mandir%2C+Panchshil+Nagar%2C+Chopda%2C+Maharashtra+425107%2C+India.","The text states this hospital is included in a list of CT scan centers, indicating it has a CT scanner."
"Krishna Ct Scan Centre Shirpur","Bhairavnath complex karvand naka, Varvade, Shirpur, Maharashtra 425405, India.","091683 62464","","https://www.google.com/maps/search/?api=1&query=Krishna+Ct+Scan+Centre+Shirpur+Bhairavnath+complex+karvand+naka,+Varvade,+Shirpur,+Maharashtra+425405,+India.","The center's name, ""Krishna Ct Scan Centre Shirpur,"" explicitly indicates the availability of CT scan services."
"C.T. CARE HOSPITAL, CHALISGAON","Sardar Vallabhbhai Patel Rd, Laxmi Nagar, Hanuman Wadi, Chalisgaon, Maharashtra 424101, India","Not available","","https://www.google.com/maps/search/?api=1&query=C.T.+CARE+HOSPITAL%2C+CHALISGAON+Sardar+Vallabhbhai+Patel+Rd%2C+Laxmi+Nagar%2C+Hanuman+Wadi%2C+Chalisgaon%2C+Maharashtra+424101%2C+India","The text lists this hospital as a ""24-hour CT scanning center,"" which confirms the availability of Computed Tomography services."
"ASMI CT scan and Diagnostic center","Narmada Medical Foundation, Suyog Society, Amalner, Maharashtra 425401, India","Not provided in text","","https://www.google.com/maps/search/?api=1&query=ASMI+CT+scan+and+Diagnostic+center+Narmada+Medical+Foundation%2C+Suyog+Society%2C+Amalner%2C+Maharashtra+425401%2C+India","The text places this center in the 'Confirmed to have CT Scanners' section and states that its name strongly indicates it offers CT scans."
"Narmada Medical Foundation","near Union Bank Yashwant Nagar, Suyog Society, Amalner, Maharashtra 425401, India","02587 223 097","","https://www.google.com/maps/search/?api=1&query=Narmada+Medical+Foundation+near+Union+Bank+Yashwant+Nagar%2C+Suyog+Society%2C+Amalner%2C+Maharashtra+425401%2C+India","The text explicitly states that this hospital offers a ""Cardiac CT Scan"" among its services."
"SIGGMA CT scan","2H48+4CM, Swatantrya Chowk - Pande Chowk Rd, Patrakar Colony, Prabhat Colony, Jalgaon, Maharashtra 425001, India.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=SIGGMA+CT+scan+2H48%2B4CM,+Swatantrya+Chowk+-+Pande+Chowk+Rd,+Patrakar+Colony,+Prabhat+Colony,+Jalgaon,+Maharashtra+425001,+India.","The center's name is 'SIGGMA CT scan' and the text describes it as 'a CT scan facility'."
"Shardul Dignostic Centre, CT Scan & MRI","5/3126 Bumb Colony,3,Jairam wadi, Jamner Rd, Bhavani Peth, Sindhi Colony, Bhusawal, Maharashtra 425201, India","02582 240 789","","https://www.google.com/maps/search/?api=1&query=Shardul+Dignostic+Centre%2C+CT+Scan+%26+MRI+5%2F3126+Bumb+Colony%2C3%2CJairam+wadi%2C+Jamner+Rd%2C+Bhavani+Peth%2C+Sindhi+Colony%2C+Bhusawal%2C+Maharashtra+425201%2C+India","The center's name includes 'CT Scan' and the services section states that it 'offers both CT scans and MRI services'."
"Shardul Dignostic Centre, CT Scan & MRI","5/3126 Bumb Colony,3,Jairam wadi, Jamner Rd, Bhavani Peth, Sindhi Colony, Bhusawal, Maharashtra 425201, India.","02582 240 789","","https://www.google.com/maps/search/?api=1&query=Shardul+Dignostic+Centre%2C+CT+Scan+%26+MRI+5%2F3126+Bumb+Colony%2C3%2CJairam+wadi%2C+Jamner+Rd%2C+Bhavani+Peth%2C+Sindhi+Colony%2C+Bhusawal%2C+Maharashtra+425201%2C+India.","The center's name includes 'CT Scan' and its services description confirms it offers CT scans and MRIs."
"Metropolis Labs | Blood Test & Diagnostic Centre in Bhusawal","Shop No 8, Navshakti Complex Bhusawal, behind Patanjali, Bhavani Peth, Shanti Nagar, Jalgaon, Bhusawal, Maharashtra 425201, India.","020 4717 0164","","https://www.google.com/maps/search/?api=1&query=Metropolis+Labs+%7C+Blood+Test+%26+Diagnostic+Centre+in+Bhusawal+Shop+No+8%2C+Navshakti+Complex+Bhusawal%2C+behind+Patanjali%2C+Bhavani+Peth%2C+Shanti+Nagar%2C+Jalgaon%2C+Bhusawal%2C+Maharashtra+425201%2C+India.","The text confirms that the variety of imaging services offered by the center includes CT scans."
"Krishna Ct Scan Centre","2QHW+JPW, Samrth Nagar, Aurangabad, Bhusawal, Maharashtra 425201, India.","Contact information is not readily available.","","https://www.google.com/maps/search/?api=1&query=Krishna+Ct+Scan+Centre+2QHW%2BJPW%2C+Samrth+Nagar%2C+Aurangabad%2C+Bhusawal%2C+Maharashtra+425201%2C+India.","The center's name is 'Krishna Ct Scan Centre' and the text explicitly mentions it provides CT scan services."
"Pushpa Diagnositc Centre","2H26+RFH, Bhaskar Market Rd, Pratap Nagar, Jalgaon, Maharashtra 425001, India","Not provided","","https://www.google.com/maps/search/?api=1&query=Pushpa+Diagnositc+Centre+2H26%2BRFH%2C+Bhaskar+Market+Rd%2C+Pratap+Nagar%2C+Jalgaon%2C+Maharashtra+425001%2C+India","The description confirms the center offers advanced imaging solutions, including CT scans."
"Muktai C.T. Scan and Diagnostic Centre","Bhusawal Rd, Tal, Muktainagar, Maharashtra 425306, India.","Not readily available","","https://www.google.com/maps/search/?api=1&query=Muktai+C.T.+Scan+and+Diagnostic+Centre+Bhusawal+Rd%2C+Tal%2C+Muktainagar%2C+Maharashtra+425306%2C+India.","The center's name and its description as a 'dedicated C.T. scan and diagnostic center' confirm the availability of a CT scanner."
"Sudarshan Diagnostic Centre, Dr. Sachin G Patil","Infront of Shahu Maharaj Hospital, 12, Ganesh Colony-Civil Ct Rd, Dhake Colony, Pratap Nagar, Jalgaon, Maharashtra 425001, India.","Information not available.","Dr. Sachin G Patil","https://www.google.com/maps/search/?api=1&query=Sudarshan+Diagnostic+Centre,+Dr.+Sachin+G+Patil+Infront+of+Shahu+Maharaj+Hospital,+12,+Ganesh+Colony-Civil+Ct+Rd,+Dhake+Colony,+Pratap+Nagar,+Jalgaon,+Maharashtra+425001,+India.","The provided text directly states that this center is confirmed to offer CT scans."
"Dr. Ulhas Patil Medical College & Hospital","NH No.6 Jalgaon-Bhusawal, Road, Jalgaon, Jalgaon Kh., Maharashtra 425309, India","0257 236 6777","Dr. Ulhas Patil","https://www.google.com/maps/search/?api=1&query=Dr.+Ulhas+Patil+Medical+College+%26+Hospital+NH+No.6+Jalgaon-Bhusawal%2C+Road%2C+Jalgaon%2C+Jalgaon+Kh.%2C+Maharashtra+425309%2C+India","The text confirms the hospital has a radiology department that provides imaging services, including CT scans."
"ASMI CT scan and Diagnostic center","23Q4+739 Narmada Medical Foundation, Suyog Society, Amalner, Maharashtra 425401, India.","No phone number is available.","","https://www.google.com/maps/search/?api=1&query=ASMI+CT+scan+and+Diagnostic+center+23Q4%2B739+Narmada+Medical+Foundation%2C+Suyog+Society%2C+Amalner%2C+Maharashtra+425401%2C+India.","The center's name includes 'CT scan' and its listed services explicitly mention the availability of CT scans."
"GAYAAI DIAGNOSTIC CENTER","Doodh Sagar Marg, near Mundada Hospital, Ganesh Nagar, Chalisgaon, Maharashtra 424101, India.","02589 223 236","","https://www.google.com/maps/search/?api=1&query=GAYAAI+DIAGNOSTIC+CENTER+Doodh+Sagar+Marg%2C+near+Mundada+Hospital%2C+Ganesh+Nagar%2C+Chalisgaon%2C+Maharashtra+424101%2C+India.","The provided text explicitly states that this center offers 'CT Scans'."
"krystal CT scan & Sonography Center","SHOP NO 6&7 MISAL PRIDE, Bagal Chowk, Shahu Mill Rd, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India.","086864 66464","","https://www.google.com/maps/search/?api=1&query=krystal+CT+scan+%26+Sonography+Center+SHOP+NO+6%267+MISAL+PRIDE,+Bagal+Chowk,+Shahu+Mill+Rd,+Poorvarang,+Mahalaxminagar,+Rajarampuri,+Kolhapur,+Maharashtra+416008,+India.","The center's name is 'krystal CT scan & Sonography Center' and its services section confirms it offers CT scans."
