Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"Shree Siddhivinayak Ganapati Cancer Hospital","Sangli - Miraj Rd, Shivaji Nagar, Miraj, Maharashtra 416410","0233 221 1601","","https://www.google.com/maps/search/?api=1&query=Shree+Siddhivinayak+Ganapati+Cancer+Hospital+Sangli+-+Miraj+Rd%2C+Shivaji+Nagar%2C+Miraj%2C+Maharashtra+416410","The text confirms that the hospital has advanced diagnostic imaging facilities, including a CT scan department."
"Jath CT Scan And Diagnostic Center","Nigdi Corner Bus Stop, Bhose - Jath Rd, Jath, Maharashtra 416404, India.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=Jath%20CT%20Scan%20And%20Diagnostic%20Center%20Nigdi%20Corner%20Bus%20Stop%2C%20Bhose%20-%20Jath%20Rd%2C%20Jath%2C%20Maharashtra%20416404%2C%20India.","The center's name, 'Jath CT Scan And Diagnostic Center', and the text's description explicitly identify it as a CT scan facility."
"Government Medical College, Miraj","Not provided in text","Not provided in text","","https://www.google.com/maps/search/?api=1&query=Government%20Medical%20College%2C%20Miraj","The text confirms that the college's website lists 'CT Scan' as one of its available facilities."
"DHANVANTRI CT SCAN CENTER PALUS","ground floor, sumangal hospital, behind new bus stand, keshav nagar, Palus, Maharashtra 416310, India","Not provided in text","","https://www.google.com/maps/search/?api=1&query=DHANVANTRI+CT+SCAN+CENTER+PALUS+ground+floor,+sumangal+hospital,+behind+new+bus+stand,+keshav+nagar,+Palus,+Maharashtra+416310,+India","The center's name explicitly includes 'CT SCAN CENTER' and it is listed as providing CT scan services."
"lifecare CT Scan and diagnostic centre","3FR8+9R6, near essar Petrol Pump, Life care centre, Palus, Sandagewadi, Maharashtra 416310, India","Not provided in text","","https://www.google.com/maps/search/?api=1&query=lifecare+CT+Scan+and+diagnostic+centre+3FR8+9R6,+near+essar+Petrol+Pump,+Life+care+centre,+Palus,+Sandagewadi,+Maharashtra+416310,+India","The name of the center, 'lifecare CT Scan and diagnostic centre', directly indicates that it offers CT scans."
"Islampur MRI and CT Scan Centre","Shastri Nagar, Shivnagar, Uran Islampur, Maharashtra 415409, India.","Not Available","","https://www.google.com/maps/search/?api=1&query=Islampur+MRI+and+CT+Scan+Centre+Shastri+Nagar%2C+Shivnagar%2C+Uran+Islampur%2C+Maharashtra+415409%2C+India.","The center's name includes 'CT Scan' and the text states it specializes in MRI and CT scans."
"ct scan center mhaswad.","post office, Shahada, Mhaswad, Maharashtra 415509, India.","Not Available","","https://www.google.com/maps/search/?api=1&query=ct+scan+center+mhaswad.+post+office%2C+Shahada%2C+Mhaswad%2C+Maharashtra+415509%2C+India.","The name of the center itself explicitly indicates that it offers CT scans."
"Samruddhi Diagnostic & Imaging Center","Ganesh Nagar, St Stand Rd, near Walwa vaidyakiy pathsanstha, Shirala Naka, Uran Islampur, Maharashtra 415409, India","Not provided in the source text","","https://www.google.com/maps/search/?api=1&query=Samruddhi+Diagnostic+%26+Imaging+Center+Ganesh+Nagar%2C+St+Stand+Rd%2C+near+Walwa+vaidyakiy+pathsanstha%2C+Shirala+Naka%2C+Uran+Islampur%2C+Maharashtra+415409%2C+India","The text explicitly states that the center 'offers CT scan services'."
"STAR AKSHAY IMAGING CENTRE","near MANKESHWAR THEATRE, Shirala Naka, Uran Islampur, Maharashtra 415409, India","087667 24806","","https://www.google.com/maps/search/?api=1&query=STAR+AKSHAY+IMAGING+CENTRE+near+MANKESHWAR+THEATRE%2C+Shirala+Naka%2C+Uran+Islampur%2C+Maharashtra+415409%2C+India","The text directly mentions that this diagnostic center 'offers CT scans'."
"NUCLEUS DIGITAL PET CT, KOLHAPUR","Ujalaiwadi, Kolhapur, Maharashtra 416004, India","099365 17474","","https://www.google.com/maps/search/?api=1&query=NUCLEUS+DIGITAL+PET+CT%2C+KOLHAPUR+Ujalaiwadi%2C+Kolhapur%2C+Maharashtra+416004%2C+India","The text mentions that this center offers PET CT scans, which is a specialized type of CT scan."
"krystal CT scan & Sonography Center","SHOP NO 6&7 MISAL PRIDE, Bagal Chowk, Shahu Mill Rd, Rajarampuri, Kolhapur, Maharashtra 416008, India","086864 66464","","https://www.google.com/maps/search/?api=1&query=krystal%20CT%20scan%20%26%20Sonography%20Center%20SHOP%20NO%206%267%20MISAL%20PRIDE%2C%20Bagal%20Chowk%2C%20Shahu%20Mill%20Rd%2C%20Rajarampuri%2C%20Kolhapur%2C%20Maharashtra%20416008%2C%20India","The text explicitly states that this center offers CT scans and sonography."
"Akshay Diagnostic Centre","1725, 5th Ln, opposite Civil Hospital Road, Ganesh Nagar, Patrakar Nagar, Sangli, Maharashtra 416416, India","(0233) 2326823","","https://www.google.com/maps/search/?api=1&query=Akshay%20Diagnostic%20Centre%201725%2C%205th%20Ln%2C%20opposite%20Civil%20Hospital%20Road%2C%20Ganesh%20Nagar%2C%20Patrakar%20Nagar%2C%20Sangli%2C%20Maharashtra%20416416%2C%20India","The text confirms that the center has a dedicated CT Scan department and offers PET-CT scans."
"Krishna Hospital And Medical Research Centre","Agashivnagar, Malkapur, Maharashtra 415539, India.","02164 241 555","","https://www.google.com/maps/search/?api=1&query=Krishna+Hospital+And+Medical+Research+Centre+Agashivnagar%2C+Malkapur%2C+Maharashtra+415539%2C+India.","The text explicitly states that the hospital's Imaging Services department includes CT scans."
"Sahyadri Super Speciality Hospital Karad","NH-48, Dadasaheb Chavan Nagar At Post Warunji Fata, Karad, Varunji, Maharashtra 415124, India.","088888 22222","","https://www.google.com/maps/search/?api=1&query=Sahyadri+Super+Speciality+Hospital+Karad+NH-48%2C+Dadasaheb+Chavan+Nagar+At+Post+Warunji+Fata%2C+Karad%2C+Varunji%2C+Maharashtra+415124%2C+India.","The text confirms this hospital offers CT scan services and specifies the model of its scanner."
"diagnopein healthcare karad","Diagnopein, Kolhapur Naka Rd, below sai Hospital, opp. Sangam Hotel Street, Shaniwar Peth, Pune, Karad, Maharashtra 415110, India.","092041 08108","","https://www.google.com/maps/search/?api=1&query=diagnopein+healthcare+karad+Diagnopein%2C+Kolhapur+Naka+Rd%2C+below+sai+Hospital%2C+opp.+Sangam+Hotel+Street%2C+Shaniwar+Peth%2C+Pune%2C+Karad%2C+Maharashtra+415110%2C+India.","The provided text lists 'CT Scans' as one of the radiology services offered by this diagnostic center."
"Axis Diagnostic Centre","Shaniwar Peth, Karad, Maharashtra 415110, India.","02164 220 922","","https://www.google.com/maps/search/?api=1&query=Axis+Diagnostic+Centre+Shaniwar+Peth%2C+Karad%2C+Maharashtra+415110%2C+India.","The text states this facility is listed as offering Computed Tomography (CT) scans."
"STAR AKSHAY IMAGING CENTRE","St Stand Rd, near MANKESHWAR THEATRE, Shirala Naka, Uran Islampur, Maharashtra 415409, India.","087667 24806","","https://www.google.com/maps/search/?api=1&query=STAR+AKSHAY+IMAGING+CENTRE+St Stand Rd, near MANKESHWAR THEATRE, Shirala Naka, Uran Islampur, Maharashtra 415409, India.","The text's service description confirms that the imaging center offers CT scan services."
"Prakash Institute of Medical Sciences & Research","Islampur- Sangli Road, Islampur. Tal- Walwa, Dist- Sangli (Maharashtra) 415409.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=Prakash+Institute+of+Medical+Sciences+%26+Research+Islampur- Sangli Road, Islampur. Tal- Walwa, Dist- Sangli (Maharashtra) 415409.","The text states that the hospital's radiology section includes CT-Scan services."
"Sahyadri Super Speciality Hospital Karad","Pune-Bangalore Highway (NH-48), Karad, India 415415","088888 22222","","https://www.google.com/maps/search/?api=1&query=Sahyadri+Super+Speciality+Hospital+Karad+Pune-Bangalore+Highway+(NH-48),+Karad,+India+415415","The text explicitly mentions that the hospital's radiology department includes a Siemens Multi Slice Somatom, Sensation 16, which is identified as a type of CT scanner."
"Axis Diagnostic & Scan Center","Shaniwar Peth, Karad, India 415415","02164 220 922","","https://www.google.com/maps/search/?api=1&query=Axis+Diagnostic+%26+Scan+Center+Shaniwar+Peth,+Karad,+India+415415","The text directly states that the facility provides CT scans and even discusses the cost of the service."
"KIMS-UAIMS Hospital, Sangli","Ushahkal Abhinav Specialty Hospital, behind sai mandir 100ft road, front of Takshila School, Dhamani Rd, Sangli, Maharashtra 416416, India","096997 72402","","https://www.google.com/maps/search/?api=1&query=KIMS-UAIMS+Hospital%2C+Sangli+Ushahkal+Abhinav+Specialty+Hospital%2C+behind+sai+mandir+100ft+road%2C+front+of+Takshila+School%2C+Dhamani+Rd%2C+Sangli%2C+Maharashtra+416416%2C+India","The introductory sentence of the provided text explicitly states that the listed centers, including this one, offer CT scan services."
"Akshay Diagnostic Centre","1725, Ganesh Nagar, 6th Lane, Near Garpeer, Opp. Civil Hospital, Sangli - 416416","(0233) 2326823, (0233) 2326833, (0233) 2323630","","https://www.google.com/maps/search/?api=1&query=Akshay+Diagnostic+Centre+1725%2C+Ganesh+Nagar%2C+6th+Lane%2C+Near+Garpeer%2C+Opp.+Civil+Hospital%2C+Sangli+-+416416","The description confirms that the center offers ""CT scans, including PET-CT scans"" with a ""Multi-slice Spiral CT"" machine."
"krystal CT scan & Sonography Center","SHOP NO 6&7 MISAL PRIDE, Bagal Chowk, Shahu Mill Rd, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India","086864 66464","","https://www.google.com/maps/search/?api=1&query=krystal+CT+scan+%26+Sonography+Center+SHOP+NO+6%267+MISAL+PRIDE%2C+Bagal+Chowk%2C+Shahu+Mill+Rd%2C+Poorvarang%2C+Mahalaxminagar%2C+Rajarampuri%2C+Kolhapur%2C+Maharashtra+416008%2C+India","The center's name includes ""CT scan"" and the text confirms it ""explicitly offers CT scans and sonography""."
"Krystal CT scan & Sonography Center","SHOP NO 6&7 MISAL PRIDE, Bagal Chowk, Shahu Mill Rd, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India","086864 66464","","https://www.google.com/maps/search/?api=1&query=Krystal+CT+scan+%26+Sonography+Center+SHOP+NO+6%267+MISAL+PRIDE%2C+Bagal+Chowk%2C+Shahu+Mill+Rd%2C+Poorvarang%2C+Mahalaxminagar%2C+Rajarampuri%2C+Kolhapur%2C+Maharashtra+416008%2C+India","The text mentions that the center's services include CT scans and sonography."
"Spandan Hospital & ICU Ashta","Uran lslampur - Sangli Rd, behind Ashwairya Petrol Pump, near Ashirwad Press, Amruta Awati, Ashta, Maharashtra 416301, India","073787 71008","","https://www.google.com/maps/search/?api=1&query=Spandan+Hospital+%26+ICU+Ashta+Uran+lslampur+-+Sangli+Rd,+behind+Ashwairya+Petrol+Pump,+near+Ashirwad+Press,+Amruta+Awati,+Ashta,+Maharashtra+416301,+India","The hospital's listed services include an 'Advance Cardiac CT Scan'."
"डी के दिअग्नोस्टिक सेंटर (D K Diagnostic Center)","Civil Hospital Chowk, above Bank of Maharashtra, Shivaji Nagar, Khanbhag, Sangli, Maharashtra 416416, India","098523 73877","","https://www.google.com/maps/search/?api=1&query=%E0%A4%A1%E0%A5%80+%E0%A4%95%E0%A5%87+%E0%A4%A6%E0%A4%BF%E0%A4%85%E0%A4%97%E0%A5%8D%E0%A4%A8%E0%A5%8B%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A4%BF%E0%A4%95+%E0%A4%B8%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A4%B0+(D+K+Diagnostic+Center)+Civil+Hospital+Chowk%2C+above+Bank+of+Maharashtra%2C+Shivaji+Nagar%2C+Khanbhag%2C+Sangli%2C+Maharashtra+416416%2C+India","The text clearly states that D K Diagnostic Center offers single CT scan services."
"APOLLO CT SCAN CENTER","S.S.No.8618,ArihantAsset,Ground Floor Shop No. I, 2, near Hotel Paiprakash, Gandhi Nagar, Vishrambag, Sangli Miraj Kupwad, Sangli, Maharashtra 416415, India.","Information not available.","","https://www.google.com/maps/search/?api=1&query=APOLLO+CT+SCAN+CENTER+S.S.No.8618,ArihantAsset,Ground+Floor+Shop+No.+I,+2,+near+Hotel+Paiprakash,+Gandhi+Nagar,+Vishrambag,+Sangli+Miraj+Kupwad,+Sangli,+Maharashtra+416415,+India.","The center's name is 'APOLLO CT SCAN CENTER' and its services explicitly include 'CT Scans'."
"Gadhinglaj Scan & Diagnostic Center","Besids Hotel, Avdhoot Darshan, Gadhinglaj, Maharashtra 416502, India.","Not available","","https://www.google.com/maps/search/?api=1&query=Gadhinglaj+Scan+%26+Diagnostic+Center+Besids+Hotel%2C+Avdhoot+Darshan%2C+Gadhinglaj%2C+Maharashtra+416502%2C+India.","The text explicitly states that this medical diagnostic imaging center provides CT scans."
"Apex CT Scan","39B, Bhagat Singh Rd, near Warana Bazar, Gandhinagar, Gadhinglaj, Maharashtra 416502, India.","+91 94499 43474","","https://www.google.com/maps/search/?api=1&query=Apex+CT+Scan+39B%2C+Bhagat+Singh+Rd%2C+near+Warana+Bazar%2C+Gandhinagar%2C+Gadhinglaj%2C+Maharashtra+416502%2C+India.","The text confirms the center offers Computed Tomography services and includes 'CT Scan' in its name."
"Krsnaa Diagnostic (Hattarki Hospital)","68CX+CJF, Bhadgaon road, near Ghali College, Gadhinglaj, Maharashtra 416502, India.","+91 96233 96233","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostic+%28Hattarki+Hospital%29+68CX%2BCJF%2C+Bhadgaon+road%2C+near+Ghali+College%2C+Gadhinglaj%2C+Maharashtra+416502%2C+India.","The text lists 'CT scans' as part of the comprehensive range of diagnostic services provided."
"Disha Diagnostic Centre, Gadhinglaj","69C2+V32, Doctors Colony Rd, Doctor's Colony, Gadhinglaj, Maharashtra 416502, India.","+91 70572 24878","","https://www.google.com/maps/search/?api=1&query=Disha+Diagnostic+Centre%2C+Gadhinglaj+69C2%2BV32%2C+Doctors+Colony+Rd%2C+Doctor%27s+Colony%2C+Gadhinglaj%2C+Maharashtra+416502%2C+India.","The text explicitly states the center is equipped with a 32-slice CT scan machine."
"Kamal Orthopedic Center and Multispeciality Hospital","Satara Rd, corner, Nigdi, Jath, Maharashtra 416404, India.","098223 38014","","https://www.google.com/maps/search/?api=1&query=Kamal+Orthopedic+Center+and+Multispeciality+Hospital+Satara+Rd,+corner,+Nigdi,+Jath,+Maharashtra+416404,+India.","The text states this hospital's radiology department provides 'whole-body CT scans'."
"Aditya Diagnostic Center Kagal","251/25, Akhilesh Park, Near Magdum Hospital, Kagal, Maharashtra 416216, India.","+91 8530717342","","https://www.google.com/maps/search/?api=1&query=Aditya+Diagnostic+Center+Kagal+251/25%2C+Akhilesh+Park%2C+Near+Magdum+Hospital%2C+Kagal%2C+Maharashtra+416216%2C+India.","The center's services explicitly list 'CT scans' with options for various slice CT scan systems."
"Krsnaa Diagnostics Pvt. Ltd.","507, Kadamwadi - Jadhavwadi Rd, E Ward, Scheme No.4, Laxminarayan Nagar, Kadamwadi, Kolhapur, Maharashtra 416003, India.","096233 96233","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+Pvt.+Ltd.+507%2C+Kadamwadi+-+Jadhavwadi+Rd%2C+E+Ward%2C+Scheme+No.4%2C+Laxminarayan+Nagar%2C+Kadamwadi%2C+Kolhapur%2C+Maharashtra+416003%2C+India.","The provided text states that the center's services include 'X-Ray & CT Scan'."
"CITY DIAGNOSTIC CENTER","Ring Rd Kagal, Near Gajanan Indane, Hanbar Galli, Kagal, Maharashtra 416216, India.","02325 243 043","","https://www.google.com/maps/search/?api=1&query=CITY+DIAGNOSTIC+CENTER+Ring+Rd+Kagal%2C+Near+Gajanan+Indane%2C+Hanbar+Galli%2C+Kagal%2C+Maharashtra+416216%2C+India.","The text explicitly states that this center is 'known for being a CT Scan Centre'."
"KIMS-UAIMS Hospital, Sangli","behind Sai Mandir on Dhamani Rd, Sangli, Maharashtra 416416, India","096997 72402","","https://www.google.com/maps/search/?api=1&query=KIMS-UAIMS+Hospital,+Sangli+behind+Sai+Mandir+on+Dhamani+Rd,+Sangli,+Maharashtra+416416,+India","The hospital is included in a list of centers that offer CT scan services and has a Diagnostics and Imaging department."
"RADLAB CT SCAN CENTRE","C/O RANE HOSPITAL & RESEARCH CENTER, Hindu Colony, Rawoolwadi, Kudal, Maharashtra 416520, India","090228 24369","","https://www.google.com/maps/search/?api=1&query=RADLAB+CT+SCAN+CENTRE+C/O+RANE+HOSPITAL+%26+RESEARCH+CENTER,+Hindu+Colony,+Rawoolwadi,+Kudal,+Maharashtra+416520,+India","The text explicitly states for this center, 'This center has a CT scanner and is open 24 hours a day.'"
"Shrushti Diagnostic Center","Shivaji Rd, Aman Nagar, Shivaji Nagar, Miraj, Maharashtra 416410, India.","094228 59193","","https://www.google.com/maps/search/?api=1&query=Shrushti+Diagnostic+Center+Shivaji+Rd%2C+Aman+Nagar%2C+Shivaji+Nagar%2C+Miraj%2C+Maharashtra+416410%2C+India.","The text explicitly states that the center's services include '64-slice CT scans'."
"Aditya Diagnostic Center Miraj","Adi-Laxami Complex, Opp. Dr. Sanjeev Kulkarni Hospital, Gulabrao Patil Medical College Road, Shivaji Nagar, Miraj, Maharashtra 416410, India.","Not provided in the text","","https://www.google.com/maps/search/?api=1&query=Aditya+Diagnostic+Center+Miraj+Adi-Laxami+Complex%2C+Opp.+Dr.+Sanjeev+Kulkarni+Hospital%2C+Gulabrao+Patil+Medical+College+Road%2C+Shivaji+Nagar%2C+Miraj%2C+Maharashtra+416410%2C+India.","The text lists this center as a 'top CT scan center' and confirms it offers CT scan services."
"JAYSINGPUR C.T SCAN CENTER","Lane no 6, Lakshmi Rd, near by sanjeevan hospital, Patil Mala, Jaysingpur, Maharashtra 416101, India.","084463 63306","","https://www.google.com/maps/search/?api=1&query=JAYSINGPUR+C.T+SCAN+CENTER+Lane+no+6%2C+Lakshmi+Rd%2C+near+by+sanjeevan+hospital%2C+Patil+Mala%2C+Jaysingpur%2C+Maharashtra+416101%2C+India.","The center's name and services list explicitly mention 'C.T SCAN' and 'Cardiac CT Scans'."
