Center Name,Address,Contact Details,Doctor Details,Google Maps Link,Reasoning
"Mahaveer Hospital","Bizz Zone, Connaught place, CIDCO Cannought, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003, India","092601 08108","","https://www.google.com/maps/search/?api=1&query=Mahaveer+Hospital+Bizz+Zone%2C+Connaught+place%2C+CIDCO+Cannought%2C+Cidco%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431003%2C+India","The text confirms the hospital has a 'CT Scan & Imaging Department' and uses CT scans for procedures."
"Emrald Advanced PET CT & Cancer Diagnosis","PLOT NO-110, CTS NO-16035, A-62, Shrikrishna Nagar, Ulkanagari, Chhatrapati Sambhajinagar, Maharashtra 431009, India.","077961 00800","","https://www.google.com/maps/search/?api=1&query=Emrald+Advanced+PET+CT+%26+Cancer+Diagnosis+PLOT+NO-110,+CTS+NO-16035,+A-62,+Shrikrishna+Nagar,+Ulkanagari,+Chhatrapati+Sambhajinagar,+Maharashtra+431009,+India.","The text states that the center specializes in advanced imaging, including PET and CT scans."
"Seven plus cbct center","V8GW+RR4, Opp. S.F.S. School, Mahesh Nagar, Mondha, Chhatrapati Sambhajinagar, Maharashtra 431001, India.","077750 77716","","https://www.google.com/maps/search/?api=1&query=Seven+plus+cbct+center+V8GW+RR4,+Opp.+S.F.S.+School,+Mahesh+Nagar,+Mondha,+Chhatrapati+Sambhajinagar,+Maharashtra+431001,+India.","The text confirms the facility offers Cone Beam Computed Tomography (CBCT), which is a specialized type of CT scan."
"Jubilee Diagnostic Center (A Subsidiary of Seven Hills Diagnostic)","Jublee Park, Khadkeshwar, Chhatrapati Sambhajinagar, Maharashtra 431001, India.","080978 64555","","https://www.google.com/maps/search/?api=1&query=Jubilee+Diagnostic+Center+(A+Subsidiary+of+Seven+Hills+Diagnostic)+Jublee+Park,+Khadkeshwar,+Chhatrapati+Sambhajinagar,+Maharashtra+431001,+India.","The text states the center is part of a network that provides multislice CT scan services."
"Solaris Medicare Diagnostics Pvt Ltd","Behind Khurana travels Adalat road, axis bank, Kranti Chowk, Snehnagar, Konkanwadi, Chhatrapati Sambhajinagar, Maharashtra 431005, India","0240 236 3389","","https://www.google.com/maps/search/?api=1&query=Solaris+Medicare+Diagnostics+Pvt+Ltd+Behind+Khurana+travels+Adalat+road%2C+axis+bank%2C+Kranti+Chowk%2C+Snehnagar%2C+Konkanwadi%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431005%2C+India","The text states that the center's services include 'CT scans and PET CT scans'."
"Veda Diagnostic Centre","Gala No. B 5,6,7 & 8, Underground , Plot No. X-41, below Nimai Hospital, near Vasant Bar, Maharana Pratap Chowk, Bajaj Nagar, Waluj, Chhatrapati Sambhajinagar, Maharashtra 431136, India","093092 79129","","https://www.google.com/maps/search/?api=1&query=Veda+Diagnostic+Centre+Gala+No.+B+5%2C6%2C7+%26+8%2C+Underground+%2C+Plot+No.+X-41%2C+below+Nimai+Hospital%2C+near+Vasant+Bar%2C+Maharana+Pratap+Chowk%2C+Bajaj+Nagar%2C+Waluj%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431136%2C+India","The text confirms the center has a '96-slice CT scanner' and offers various CT scan services."
"Krsnaa Diagnostics, Sambhajinagar | CT Scan.","near Airport, Naregaon, Chilkalthana, Chhatrapati Sambhajinagar, Maharashtra 431007, India.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics%2C+Sambhajinagar+%7C+CT+Scan.+near+Airport%2C+Naregaon%2C+Chilkalthana%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431007%2C+India.","The center's name includes 'CT Scan' and the text confirms it offers Computed Tomography (CT) scans."
"SAI CBCT and DEXA Scan Center","Shop No. 212, Akshay Deep Plaza, Plot No 7-10, Sambhaji Nagar, Town Center, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003, India.","076665 27974","","https://www.google.com/maps/search/?api=1&query=SAI+CBCT+and+DEXA+Scan+Center+Shop+No.+212%2C+Akshay+Deep+Plaza%2C+Plot+No+7-10%2C+Sambhaji+Nagar%2C+Town+Center%2C+Cidco%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431003%2C+India.","The text confirms this center specializes in Cone Beam Computed Tomography (CBCT) scans, which is a variant of traditional CT scans."
"Amogh Imaging & Diagnostics.","Ground floor, Plot No - 76, 7, Bajrang Chowk Rd, near Mata Mandir/Nehru Udyan, Shivdatta Housing Society, N 8, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003, India.","087790 89099","","https://www.google.com/maps/search/?api=1&query=Amogh+Imaging+%26+Diagnostics.+Ground+floor%2C+Plot+No+-+76%2C+7%2C+Bajrang+Chowk+Rd%2C+near+Mata+Mandir%2FNehru+Udyan%2C+Shivdatta+Housing+Society%2C+N+8%2C+Cidco%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431003%2C+India.","The text states that a consultant radiologist at the center uses a 128-slice CT scanner for diagnostics."
"HealthAssure - Kabra Hospital","55, Jalna Rd, opp. St.Francis School, Mahesh Nagar, Mondha, Chhatrapati Sambhajinagar, Maharashtra 431001, India.","070207 04723","","https://www.google.com/maps/search/?api=1&query=HealthAssure+-+Kabra+Hospital+55%2C+Jalna+Rd%2C+opp.+St.Francis+School%2C+Mahesh+Nagar%2C+Mondha%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431001%2C+India.","The text states that this facility provides a range of imaging and diagnostic services, including 'CT scans'."
"Tapadia Diagnostic Centre","Bhanudas Sabhahgrah Railway Station Rd, Rajnagar, Bansilal Nagar, MIDC, Chhatrapati Sambhajinagar, Maharashtra 431005, India.","0240 232 4242","","https://www.google.com/maps/search/?api=1&query=Tapadia+Diagnostic+Centre+Bhanudas+Sabhahgrah+Railway+Station+Rd%2C+Rajnagar%2C+Bansilal+Nagar%2C+MIDC%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431005%2C+India.","The text describes the center as offering 'CT scans' among its medical imaging services."
"Sahyadri Diagnostic Centre","V8GR+C9C, Gajanan Maharaj Mandir Rd, Opp.CADA Office, Vidya Nagar, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431009, India.","Not provided in text","","https://www.google.com/maps/search/?api=1&query=Sahyadri+Diagnostic+Centre+V8GR%2BC9C,+Gajanan+Maharaj+Mandir+Rd,+Opp.CADA+Office,+Vidya+Nagar,+Nyay+Nagar,+Chhatrapati+Sambhajinagar,+Maharashtra+431009,+India.","The center's listed services include 'Cardiac CT', which confirms the presence of a CT scanner."
"Apex Superspeciality Hospital","5-8 Bassayye nagar, Opposite SFS School, Jalna Road, Sanjay Nagar, Mondha, Chhatrapati Sambhajinagar, Maharashtra 431001, India.","084840 41537","","https://www.google.com/maps/search/?api=1&query=Apex+Superspeciality+Hospital+5-8+Bassayye+nagar,+Opposite+SFS+School,+Jalna+Road,+Sanjay+Nagar,+Mondha,+Chhatrapati+Sambhajinagar,+Maharashtra+431001,+India.","The hospital's diagnostic center is specified as being equipped with a whole-body spiral CT scan."
"Dr. Hedgewar Rugnalaya","Near Gajanand Maharaj Mandir, Road, Jawahar Colony, Garkheda, Chhatrapati Sambhajinagar, Maharashtra 431005, India.","0240 224 5000","","https://www.google.com/maps/search/?api=1&query=Dr.+Hedgewar+Rugnalaya+Near+Gajanand+Maharaj+Mandir,+Road,+Jawahar+Colony,+Garkheda,+Chhatrapati+Sambhajinagar,+Maharashtra+431005,+India.","This hospital is explicitly listed in the text as offering CT scan services."
"Devgiri Diagnostic Centre CT Scan","Sharada Chambers, Beed Bypass Rd, Mirajgave Nagari, Chhatrapati Sambhajinagar, Maharashtra 431009, India.","Information not available.","","https://www.google.com/maps/search/?api=1&query=Devgiri+Diagnostic+Centre+CT+Scan+Sharada+Chambers,+Beed+Bypass+Rd,+Mirajgave+Nagari,+Chhatrapati+Sambhajinagar,+Maharashtra+431009,+India.","The center's name, 'Devgiri Diagnostic Centre CT Scan', clearly indicates that it provides CT scan services."
"Dr. Rajendra Kalantri","Sai Business Center, Infront of Pawan gas and Bandhan Bank, behind Vishal Opticals, Mitra Mandal Colony, New Usmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005, India.","091568 36176","Dr. Rajendra Kalantri","https://www.google.com/maps/search/?api=1&query=Dr.+Rajendra+Kalantri+Sai+Business+Center,+Infront+of+Pawan+gas+and+Bandhan+Bank,+behind+Vishal+Opticals,+Mitra+Mandal+Colony,+New+Usmanpura,+Chhatrapati+Sambhajinagar,+Maharashtra+431005,+India.","The practice's service offerings explicitly mention 'CECT Abdomen (Contrast-Enhanced Computed Tomography)'."
"Shanti Imaging Centre","Nisha Pride,Level -1,Below Tanishq & Planet Fashion Jalna Road, Mondha Naka Flyover, near Domino, Kailash Nagar, Mondha, Chhatrapati Sambhajinagar, Maharashtra 431001, India.","093720 01332","","https://www.google.com/maps/search/?api=1&query=Shanti+Imaging+Centre+Nisha+Pride,Level+-1,Below+Tanishq+&+Planet+Fashion+Jalna+Road,+Mondha+Naka+Flyover,+near+Domino,+Kailash+Nagar,+Mondha,+Chhatrapati+Sambhajinagar,+Maharashtra+431001,+India.","The provided text explicitly states that this center ""Offers CT scans""."
"CARE United CIIGMA Hospitals","plot no 6, 7, Dargah Road, Shahnoorwadi, Chhatrapati Sambhajinagar, Maharashtra 431005, India.","040 6810 6589","","https://www.google.com/maps/search/?api=1&query=CARE+United+CIIGMA+Hospitals+plot+no+6,+7,+Dargah+Road,+Shahnoorwadi,+Chhatrapati+Sambhajinagar,+Maharashtra+431005,+India.","The text explicitly states that the hospital's radiology department offers a ""comprehensive range of CT scan services""."
"Medicover Hospitals","near Chistiya Police Chowki, N-6, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003, India","040 6833 4455","","https://www.google.com/maps/search/?api=1&query=Medicover+Hospitals+near+Chistiya+Police+Chowki,+N-6,+Cidco,+Chhatrapati+Sambhajinagar,+Maharashtra+431003,+India","The text states that the hospital's radiology department offers a range of diagnostic services, including 'CT imaging procedures'."
"CT ,MRI Center Government Medical College Hospital","Government Medical College and Hospital - Medicine Department, Naralibag, Chhatrapati Sambhajinagar, Maharashtra 431001, India","Contact information is not readily available.","","https://www.google.com/maps/search/?api=1&query=CT+,MRI+Center+Government+Medical+College+Hospital+Government+Medical+College+and+Hospital+-+Medicine+Department,+Naralibag,+Chhatrapati+Sambhajinagar,+Maharashtra+431001,+India","The name of the center itself confirms its function, and the text describes it as a 'dedicated center for CT and MRI scans'."
"Krushna Heart Care Center","MIDC, Bajaj Nagar, Waluj, Chhatrapati Sambhajinagar, Maharashtra 431136, India","0240 299 0370","","https://www.google.com/maps/search/?api=1&query=Krushna+Heart+Care+Center+MIDC,+Bajaj+Nagar,+Waluj,+Chhatrapati+Sambhajinagar,+Maharashtra+431136,+India","The text explicitly states that this center is 'also listed as a CT scan center'."
"Krushna Heart Care Center","MIDC, Bajaj Nagar, Waluj, Chhatrapati Sambhajinagar, Maharashtra 431136, India.","0240 299 0370","","https://www.google.com/maps/search/?api=1&query=Krushna+Heart+Care+Center+MIDC%2C+Bajaj+Nagar%2C+Waluj%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431136%2C+India.","The provided text explicitly lists 'CT Scan Center' as one of the center's specialties."
"New CT Scan","opp. Varad Heights, Tathagat Chowk, Ambajogai, Maharashtra 431515, India","090210 44372","","https://www.google.com/maps/search/?api=1&query=New+CT+Scan+opp.+Varad+Heights,+Tathagat+Chowk,+Ambajogai,+Maharashtra+431515,+India","The center is explicitly named ""New CT Scan"", which indicates its specialization in this imaging service."
"Samarth Sonography and CT Scan Center","DP Rd, Adarsh nagar, Dr Barkul hospital line, behind Tahsil Office, Shriram Nagar, Beed, Maharashtra 431122, India","099700 93055","","https://www.google.com/maps/search/?api=1&query=Samarth+Sonography+and+CT+Scan+Center+DP+Rd,+Adarsh+nagar,+Dr+Barkul+hospital+line,+behind+Tahsil+Office,+Shriram+Nagar,+Beed,+Maharashtra+431122,+India","The center's name, ""Samarth Sonography and CT Scan Center"", explicitly confirms that it offers CT scan services."
"Shree Krushna CT SCAN Centre","Shree krushna Ct Scan Center, pandit kaka Nagar, Rajsarthi Nagar, Shri Swami Samarth Nagar, Vaijapur, Maharashtra 423701, India.","02436 299 100","","https://www.google.com/maps/search/?api=1&query=Shree+Krushna+CT+SCAN+Centre+Shree+krushna+Ct+Scan+Center,+pandit+kaka+Nagar,+Rajsarthi+Nagar,+Shri+Swami+Samarth+Nagar,+Vaijapur,+Maharashtra+423701,+India.","The center's name, ""Shree Krushna CT SCAN Centre"", is cited in the text as strong indication that they offer computed tomography scans."
"Sillod CT Scan Center / Suman Hospital","Plot no 48, Suman hospital, rajeshri sahu nagar, beside suman hospital, Jai Bhawani Nagar, Sillod, Maharashtra 431112, India.","02430 222 707","","https://www.google.com/maps/search/?api=1&query=Sillod+CT+Scan+Center+%2F+Suman+Hospital+Plot+no+48%2C+Suman+hospital%2C+rajeshri+sahu+nagar%2C+beside+suman+hospital%2C+Jai+Bhawani+Nagar%2C+Sillod%2C+Maharashtra+431112%2C+India.","The text explicitly states that this center offers CT scans."
"Krsnaa Diagnostics","National Medical College & Hospital, Sillod, Chhatrapati Sambhajinagar, Maharashtra 431112, India.","7420014337","","https://www.google.com/maps/search/?api=1&query=Krsnaa+Diagnostics+National+Medical+College+%26+Hospital%2C+Sillod%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431112%2C+India.","The text lists 'CT Scans' as one of the comprehensive imaging services offered by Krsnaa Diagnostics."
"Sillod CT Scan Center","Plot no 48, Suman hospital, rajeshri sahu nagar, beside suman hospital, Jai Bhawani Nagar, Sillod, Maharashtra 431112, India","02430 222 707","","https://www.google.com/maps/search/?api=1&query=Sillod+CT+Scan+Center+Plot+no+48%2C+Suman+hospital%2C+rajeshri+sahu+nagar%2C+beside+suman+hospital%2C+Jai+Bhawani+Nagar%2C+Sillod%2C+Maharashtra+431112%2C+India","The facility is explicitly named ""Sillod CT Scan Center"" and the text mentions its ""CT scan services""."
"Shardul CT Scan Centre","Sahre Trade Center, 8M94+923, near HP Petrol Pump Bramha Automobiles, Sillod, Maharashtra 431112, India","Contact information for this center is not readily available.","","https://www.google.com/maps/search/?api=1&query=Shardul+CT+Scan+Centre+Sahre+Trade+Center%2C+8M94%2B923%2C+near+HP+Petrol+Pump+Bramha+Automobiles%2C+Sillod%2C+Maharashtra+431112%2C+India","The name of the facility, ""Shardul CT Scan Centre"", confirms the availability of a CT scanner."
"Vivekanand Medical Foundation And Research Centre","9HWF+HCW, Vidya Nagar, Signal Camp, Latur, Maharashtra 413512, India","02382 255 905","","https://www.google.com/maps/search/?api=1&query=Vivekanand+Medical+Foundation+And+Research+Centre+9HWF%2BHCW%2C+Vidya+Nagar%2C+Signal+Camp%2C+Latur%2C+Maharashtra+413512%2C+India","The text explicitly states that the center has facilities for CT scans, including PET CT scans."
"Modern Imaging","Dev tower, MG Rd, beside chittikiran hotel, Mitra Nagar, Sawe Wadi, Latur, Maharashtra 413531, India","+919100907036, +919100907622","","https://www.google.com/maps/search/?api=1&query=Modern+Imaging+Dev+tower%2C+MG+Rd%2C+beside+chittikiran+hotel%2C+Mitra+Nagar%2C+Sawe+Wadi%2C+Latur%2C+Maharashtra+413531%2C+India","The text confirms that this diagnostic imaging center offers CT scan services."
"Hitech Institute of Imaging & Research","Shrinivas Sankul, near Big Bazar, Sawe Wadi, Latur, Maharashtra 413512, India","02382 243 864","","https://www.google.com/maps/search/?api=1&query=Hitech+Institute+of+Imaging+%26+Research+Shrinivas+Sankul%2C+near+Big+Bazar%2C+Sawe+Wadi%2C+Latur%2C+Maharashtra+413512%2C+India","The text mentions that this institute offers a variety of services, including CT scans, and has advanced CT scan facilities."
"Vision Diagnostic Centre","9HXC+M3R, TIlak Nagar, Latur, Maharashtra 413531, India","02382 254 066","","https://www.google.com/maps/search/?api=1&query=Vision+Diagnostic+Centre+9HXC%2BM3R%2C+TIlak+Nagar%2C+Latur%2C+Maharashtra+413531%2C+India","The text lists ""Multi Slice C T Scan"" and ""128 Slice CT Scan"" among the services offered by the center."
"Sanjeevani Multispeciality Hospital","Plot No 17, Rushi Park, Ambad Rd, near Chuffull, Chuffull, Jalna, Maharashtra 431213, India.","075073 42222","","https://www.google.com/maps/search/?api=1&query=Sanjeevani+Multispeciality+Hospital+Plot+No+17%2C+Rushi+Park%2C+Ambad+Rd%2C+near+Chuffull%2C+Chuffull%2C+Jalna%2C+Maharashtra+431213%2C+India.","The hospital's Radiology Department is confirmed to offer diagnostic imaging services that include ""CT scans""."
"Krishna Imaging Center","Jalna - Aurangabad Rd, Dhangarpura, Jalna, Maharashtra 431203, India.","02482 239 255","","https://www.google.com/maps/search/?api=1&query=Krishna+Imaging+Center+Jalna+-+Aurangabad+Rd%2C+Dhangarpura%2C+Jalna%2C+Maharashtra+431203%2C+India.","The center is described as specializing in advanced imaging technologies, including ""helical CT scanning""."
"Solaris Medicare Diagnostics Pvt Ltd","Kranti Chowk, Snehnagar, Konkanwadi, Chhatrapati Sambhajinagar, 431134","0240 236 3389","","https://www.google.com/maps/search/?api=1&query=Solaris+Medicare+Diagnostics+Pvt+Ltd+Kranti+Chowk%2C+Snehnagar%2C+Konkanwadi%2C+Chhatrapati+Sambhajinagar","The text confirms the center offers PET-CT services, which includes a CT scanner."
"Prabhadevi Diagnostics Center","New Usmanpura, Chhatrapati Sambhajinagar, 431134","091568 36176","","https://www.google.com/maps/search/?api=1&query=Prabhadevi+Diagnostics+Center+New+Usmanpura%2C+Chhatrapati+Sambhajinagar","The provided text explicitly names this location a 'CT Scan Center'."
"Seven Hills Diagnostic Center","Near the Seven Hill Flyover on Jalna Road in Chhatrapati Sambhajinagar, 431134","083800 83155","","https://www.google.com/maps/search/?api=1&query=Seven+Hills+Diagnostic+Center+Jalna+Road+in+Chhatrapati+Sambhajinagar","The text states that this center specializes in CT scans and has a 16-slice multi-detector CT scanner."
"Inde Imaging Center","Prabhudatta Complex, near motha devi mandir, Bajaj nagar, Waluj, aurangabad, Mohata Devi Chowk, Waluj, Chhatrapati Sambhajinagar, Maharashtra 431136, India","No phone number available.","","https://www.google.com/maps/search/?api=1&query=Inde+Imaging+Center+Prabhudatta+Complex,+near+motha+devi+mandir,+Bajaj+nagar,+Waluj,+aurangabad,+Mohata+Devi+Chowk,+Waluj,+Chhatrapati+Sambhajinagar,+Maharashtra+431136,+India","The text explicitly lists this center as one that provides CT scans."
"Devgiri Diagnostic Center","More Chowk Rd, Waluj, Chhatrapati Sambhajinagar, Maharashtra 431136, India","097104 64610","","https://www.google.com/maps/search/?api=1&query=Devgiri+Diagnostic+Center+More+Chowk+Rd,+Waluj,+Chhatrapati+Sambhajinagar,+Maharashtra+431136,+India","The text mentions that the center provides 'multislice CT scans' as one of its services."
"DR. Rahul Rojekar- Panchandra Diagnostic Centre","Plot no 524, Dharti Dhaan, Stadium Rd, opposite to Induganga Arcade, Kamgar Chowk, N 3, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003, India","095796 71878","DR. Rahul Rojekar","https://www.google.com/maps/search/?api=1&query=DR.+Rahul+Rojekar-+Panchandra+Diagnostic+Centre+Plot+no+524%2C+Dharti+Dhaan%2C+Stadium+Rd%2C+opposite+to+Induganga+Arcade%2C+Kamgar+Chowk%2C+N+3%2C+Cidco%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431003%2C+India","The text explicitly states this diagnostic center is 'listed as offering CT scan services' and includes 'CT scans' in its service list."
"AIMS HOSPITAL & TRAUMA CENTER","Plot No.20 Sector A, Jalgaon Road, Sharad Hotel Chowk, TV Centre Rd, Hudco, Sudarshan Nagar, N 11, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003, India.","You can find their contact information on their website or by searching online.","","https://www.google.com/maps/search/?api=1&query=AIMS+HOSPITAL+%26+TRAUMA+CENTER+Plot+No.20+Sector+A%2C+Jalgaon+Road%2C+Sharad+Hotel+Chowk%2C+TV+Centre+Rd%2C+Hudco%2C+Sudarshan+Nagar%2C+N+11%2C+Cidco%2C+Chhatrapati+Sambhajinagar%2C+Maharashtra+431003%2C+India.","The text explicitly mentions that the hospital's imaging and radiology services include CT scan facilities."
"Mangal Medi Center","""Anudi"" Plot No. 101, Kalda Corner, Shreya Nagar, Shreya Nagar Old, New Usmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005, India","0240 236 1986","","https://www.google.com/maps/search/?api=1&query=Mangal+Medi+Center+""Anudi""+Plot+No.+101,+Kalda+Corner,+Shreya+Nagar,+Shreya+Nagar+Old,+New+Usmanpura,+Chhatrapati+Sambhajinagar,+Maharashtra+431005,+India","The text explicitly states that the center ""offers CT scans"" among its services."
